NODE_7_length_611_cov_2.512500,PV878479.1,93.276,580,39,0,27,606,2226,2805,0.0,856
NODE_7_length_611_cov_2.512500,PV878494.1,93.276,580,39,0,27,606,1990,1411,0.0,856
NODE_7_length_611_cov_2.512500,PV878488.1,93.276,580,39,0,27,606,2790,2211,0.0,856
NODE_7_length_611_cov_2.512500,MN661035.1,92.042,578,46,0,29,606,6938,7515,0.0,813
NODE_7_length_611_cov_2.512500,MN661036.1,91.349,578,50,0,29,606,6771,7348,0.0,791
NODE_7_length_611_cov_2.512500,MW650740.1,91.176,578,51,0,29,606,1970,2547,0.0,785
NODE_7_length_611_cov_2.512500,MW650741.1,91.176,578,51,0,29,606,1970,2547,0.0,785
NODE_7_length_611_cov_2.512500,PQ963484.1,88.428,579,67,0,28,606,6873,7451,0.0,699
NODE_7_length_611_cov_2.512500,PX613665.1,87.370,578,73,0,29,606,6935,7512,0.0,664
NODE_7_length_611_cov_2.512500,PV878497.1,95.652,46,2,0,27,72,91,46,1.50e-08,75.0
NODE_8_length_573_cov_184.111111,MN661035.1,89.924,397,40,0,170,566,9043,9439,2.50e-140,512
NODE_8_length_573_cov_184.111111,MN661036.1,91.022,401,36,0,166,566,8872,9272,3.19e-149,542
NODE_8_length_573_cov_184.111111,MW650740.1,91.771,401,33,0,166,566,4071,4471,3.17e-154,558
NODE_8_length_573_cov_184.111111,MW650741.1,91.771,401,33,0,166,566,4071,4471,3.17e-154,558
NODE_8_length_573_cov_184.111111,PQ963484.1,88.642,405,45,1,166,570,8981,9384,3.26e-134,492
NODE_8_length_573_cov_184.111111,PX613665.1,88.279,401,47,0,166,566,9039,9439,7.06e-131,481
NODE_9_length_548_cov_1.712274,PV878479.1,91.833,502,41,0,47,548,143,644,0.0,701
NODE_9_length_548_cov_1.712274,PV878488.1,91.633,502,42,0,47,548,4873,4372,0.0,695
NODE_9_length_548_cov_1.712274,MN661035.1,91.182,499,44,0,47,545,4853,5351,0.0,678
NODE_9_length_548_cov_1.712274,MN661036.1,90.927,496,45,0,47,542,4686,5181,0.0,667
NODE_9_length_548_cov_1.712274,MW650740.1,90.601,383,36,0,163,545,1,383,3.09e-139,508
NODE_9_length_548_cov_1.712274,MW650741.1,90.601,383,36,0,163,545,1,383,3.09e-139,508
NODE_9_length_548_cov_1.712274,PQ963484.1,93.426,502,33,0,47,548,4789,5290,0.0,745
NODE_9_length_548_cov_1.712274,PX613665.1,89.579,499,52,0,47,545,4850,5348,4.88e-177,634
NODE_13_length_370_cov_1.347962,MN661035.1,89.459,370,33,1,1,370,418,781,1.59e-125,462
NODE_13_length_370_cov_1.347962,MN661036.1,89.459,370,33,1,1,370,251,614,1.59e-125,462
NODE_13_length_370_cov_1.347962,PQ963484.1,88.949,371,39,2,1,370,347,716,7.40e-124,457
NODE_18_length_297_cov_1.345528,MN661036.1,90.071,282,28,0,16,297,3682,3401,1.01e-96,366
NODE_18_length_297_cov_1.345528,PX613665.1,90.493,284,27,0,14,297,3848,3565,1.67e-99,375
Status: 500 Server Error
Content-Type: text/plain

ERROR:  500 Server Error 

CCgiResponse::WriteHeader() -- called more than once


